date,ticker,gap,prev_close,open,strategy,status,entry,stop,target,pl,time,vwap,support,resistance
2025-08-17,KAZT,1.85,485.40,494.40,1m Flat-Top,❌,,,,,,,,
2025-08-17,KAZT,1.85,485.40,494.40,1m Flat-Bottom,✅,492.20,492.20,,,13:12,,,
2025-08-17,KAZT,1.85,485.40,494.40,5m Flat-Top,❌,,,,,,,,
2025-08-17,KAZT,1.85,485.40,494.40,5m Flat-Bottom,✅,489.40,490.80,,,18:15,,,
2025-08-17,KAZT,1.85,485.40,494.40,1m BullFlag,❌,,,,,,,,
2025-08-17,KAZT,1.85,485.40,494.40,5m BullFlag,❌,,,,,,,,
2025-08-17,KAZT,1.85,485.40,494.40,1m FirstPullback,❌,,,,,,,,
2025-08-17,KAZT,1.85,485.40,494.40,5m FirstPullback,❌,,,,,,,,
2025-08-17,KAZT,1.85,485.40,494.40,1m ABCD,❌,,,,,,,,
2025-08-17,KAZT,1.85,485.40,494.40,5m ABCD,❌,,,,,,,,
2025-08-16,LNZLP,6.19,970.00,1030.00,Gap&Go,❌,,,,,,,,
2025-08-16,LNZLP,6.19,970.00,1030.00,1m Flat-Top,✅,955.00,955.00,,,03:07,,,
2025-08-16,LNZLP,6.19,970.00,1030.00,1m Flat-Bottom,❌,,,,,,,,
2025-08-16,LNZLP,6.19,970.00,1030.00,5m Flat-Top,✅,975.00,960.00,,,09:55,,,
2025-08-16,LNZLP,6.19,970.00,1030.00,5m Flat-Bottom,❌,,,,,,,,
2025-08-16,LNZLP,6.19,970.00,1030.00,1m BullFlag,✅,975.00,955.00,995.00,+20.00,09:59,,,
2025-08-16,LNZLP,6.19,970.00,1030.00,5m BullFlag,✅,975.00,955.00,995.00,+20.00,09:55,,,
2025-08-16,LNZLP,6.19,970.00,1030.00,1m FirstPullback,❌,,,,,,,,
2025-08-16,LNZLP,6.19,970.00,1030.00,5m FirstPullback,❌,,,,,,,,
2025-08-16,LNZLP,6.19,970.00,1030.00,1m ABCD,❌,,,,,,,,
2025-08-16,LNZLP,6.19,970.00,1030.00,5m ABCD,❌,,,,,,,,
2025-08-15,METC,14.46,23.59,27.00,1m Flat-Top,❌,,,,,,,,
2025-08-15,METC,14.46,23.59,27.00,1m Flat-Bottom,✅,25.60,25.63,,,18:24,,,
2025-08-15,METC,14.46,23.59,27.00,5m Flat-Top,❌,,,,,,,,
2025-08-15,METC,14.46,23.59,27.00,5m Flat-Bottom,✅,25.45,25.64,,,18:35,,,
2025-08-15,METC,14.46,23.59,27.00,1m BullFlag,✅,24.40,24.32,24.50,+0.10,20:16,,,
2025-08-15,METC,14.46,23.59,27.00,5m BullFlag,❌,,,,,,,,
2025-08-15,METC,14.46,23.59,27.00,1m FirstPullback,❌,,,,,,,,
2025-08-15,METC,14.46,23.59,27.00,5m FirstPullback,❌,,,,,,,,
2025-08-15,METC,14.46,23.59,27.00,1m ABCD,✅,24.40,24.32,24.50,+0.10,20:16,,,
2025-08-15,METC,14.46,23.59,27.00,5m ABCD,❌,,,,,,,,
2025-08-15,JOBY,13.17,16.63,18.82,1m Flat-Top,❌,,,,,,,,
2025-08-15,JOBY,13.17,16.63,18.82,1m Flat-Bottom,✅,17.05,17.17,,,17:08,,,
2025-08-15,JOBY,13.17,16.63,18.82,5m Flat-Top,❌,,,,,,,,
2025-08-15,JOBY,13.17,16.63,18.82,5m Flat-Bottom,✅,16.93,17.22,,,18:40,,,
2025-08-15,JOBY,13.17,16.63,18.82,1m BullFlag,✅,17.21,16.87,17.30,+0.09,19:25,,,
2025-08-15,JOBY,13.17,16.63,18.82,5m BullFlag,❌,,,,,,,,
2025-08-15,JOBY,13.17,16.63,18.82,1m FirstPullback,❌,,,,,,,,
2025-08-15,JOBY,13.17,16.63,18.82,5m FirstPullback,❌,,,,,,,,
2025-08-15,JOBY,13.17,16.63,18.82,1m ABCD,✅,16.92,16.90,16.97,+0.05,18:49,,,
2025-08-15,JOBY,13.17,16.63,18.82,5m ABCD,❌,,,,,,,,
2025-08-14,ADAP,14.29,0.07,0.08,1m Flat-Top,❌,,,,,,,,
2025-08-14,ADAP,14.29,0.07,0.08,1m Flat-Bottom,❌,,,,,,,,
2025-08-14,ADAP,14.29,0.07,0.08,5m Flat-Top,❌,,,,,,,,
2025-08-14,ADAP,14.29,0.07,0.08,5m Flat-Bottom,❌,,,,,,,,
2025-08-14,ADAP,14.29,0.07,0.08,1m BullFlag,❌,,,,,,,,
2025-08-14,ADAP,14.29,0.07,0.08,5m BullFlag,❌,,,,,,,,
2025-08-14,ADAP,14.29,0.07,0.08,1m FirstPullback,❌,,,,,,,,
2025-08-14,ADAP,14.29,0.07,0.08,5m FirstPullback,❌,,,,,,,,
2025-08-14,ADAP,14.29,0.07,0.08,1m ABCD,❌,,,,,,,,
2025-08-14,ADAP,14.29,0.07,0.08,5m ABCD,❌,,,,,,,,
2025-08-14,UI,12.30,421.31,473.15,1m Flat-Top,❌,,,,,,,,
2025-08-14,UI,12.30,421.31,473.15,1m Flat-Bottom,❌,,,,,,,,
2025-08-14,UI,12.30,421.31,473.15,5m Flat-Top,❌,,,,,,,,
2025-08-14,UI,12.30,421.31,473.15,5m Flat-Bottom,❌,,,,,,,,
2025-08-14,UI,12.30,421.31,473.15,1m BullFlag,✅,417.55,412.21,418.19,+0.64,17:20,,,
2025-08-14,UI,12.30,421.31,473.15,5m BullFlag,✅,418.02,397.76,424.32,+6.30,17:40,,,
2025-08-14,UI,12.30,421.31,473.15,1m FirstPullback,❌,,,,,,,,
2025-08-14,UI,12.30,421.31,473.15,5m FirstPullback,❌,,,,,,,,
2025-08-14,UI,12.30,421.31,473.15,1m ABCD,✅,414.31,407.58,423.84,+9.53,18:32,,,
2025-08-14,UI,12.30,421.31,473.15,5m ABCD,✅,411.60,408.64,425.58,+13.98,20:10,,,
2025-08-13,GLBE,18.74,31.06,36.88,1m Flat-Top,❌,,,,,,,,
2025-08-13,GLBE,18.74,31.06,36.88,1m Flat-Bottom,✅,32.15,32.59,,,16:38,,,
2025-08-13,GLBE,18.74,31.06,36.88,5m Flat-Top,❌,,,,,,,,
2025-08-13,GLBE,18.74,31.06,36.88,5m Flat-Bottom,❌,,,,,,,,
2025-08-13,GLBE,18.74,31.06,36.88,1m BullFlag,✅,31.06,30.50,31.53,+0.47,16:50,,,
2025-08-13,GLBE,18.74,31.06,36.88,5m BullFlag,✅,31.24,30.93,31.57,+0.33,21:25,,,
2025-08-13,GLBE,18.74,31.06,36.88,1m FirstPullback,❌,,,,,,,,
2025-08-13,GLBE,18.74,31.06,36.88,5m FirstPullback,❌,,,,,,,,
2025-08-13,GLBE,18.74,31.06,36.88,1m ABCD,✅,31.42,31.00,32.21,+0.79,18:06,,,
2025-08-13,GLBE,18.74,31.06,36.88,5m ABCD,❌,,,,,,,,
2025-08-13,PRTS,12.99,0.77,0.87,1m Flat-Top,❌,,,,,,,,
2025-08-13,PRTS,12.99,0.77,0.87,1m Flat-Bottom,✅,0.83,0.85,,,18:28,,,
2025-08-13,PRTS,12.99,0.77,0.87,5m Flat-Top,❌,,,,,,,,
2025-08-13,PRTS,12.99,0.77,0.87,5m Flat-Bottom,✅,0.83,0.85,,,18:25,,,
2025-08-13,PRTS,12.99,0.77,0.87,1m BullFlag,❌,,,,,,,,
